id,category_name,phrase
1,Website,Homepage
2,Website,Register
3,Website,Login
4,Website,Remember me
5,Website,Forgot password
6,Website,E-Mail
7,Website,Password
8,Website,Confirm password
9,Website,Sign in
10,Website,Logout
11,Website,Name
12,Website,Dashboard
13,Website,Choose category
14,Website,Parse
15,Website,Import Translation
16,Website,Import Translation XML
17,Website,Import Translation JSON
18,Website,Export Translations
19,Website,Export Translations XML
20,Website,Export Translations JSON
21,Website,Missing translations
22,Website,Close
23,Website,Error
24,Website,Translation
25,Website,Sequence
26,Website,Localization overview
27,Website,Language
28,Website,Go to
29,Website,Categories
30,Website,Category
31,Website,Edit
32,Website,Delete
33,Website,Update category
34,Website,Save changes
35,Website,Are you sure you want to delete this Category ?
36,Website,Yes
37,Website,No
38,Website,Languages
39,Website,ISO-CODE
40,Website,Update Language
41,Website,Dismiss
42,Website,Users
43,Website,Role
44,Website,Update
45,Website,Translate from
46,Website,Translate to
47,Website,Category Overview
48,Website,Overview
49,Website,Sequence Import / Export
50,Website,only english files
51,Website,Translation stored
52,Website,"Something went wrong, please try again"
53,Website,Successfully updated translation
54,Website,Translation cannot be empty
55,Website,Updated successfully
56,Website,Category deleted successfully
57,Website,Cannot delete non-existing category
58,Website,Successfully imported translation
59,Website,But
60,Website,Some translations are missing
61,Website,Look at the list bellow
62,Website,The given data was invalid
63,Website,Try again
64,Website,Remove user
65,Website,Are you sure you want to delete this user?
66,Website,User successfully deleted
67,Website,Update user
68,Website,Successfully added language to user
69,Website,Successfully removed Language from User
70,Website,User must have at least 1 Language
71,Website,Successfully changed user role
72,Website,User successfully added to category
73,Website,Category successfully removed from the user
74,Website,User must have at least 1 Category
75,Website,Name cannot be empty
76,Website,Username successfully updated
77,Website,"Error while updating, please try again"
78,Website,Email Successfully updated
79,Website,Password Successfully updated
80,Website,Password cannot be empty
81,Website,Email cannot be empty
82,Website,Email is not valid
83,Website,Download missing translations
84,Website,Loading...
85,Website,No data available in table
86,Website,Showing _START_ to _END_ of _TOTAL_ entries
87,Website,(filtered from _MAX_ total entries)
88,Website,Processing...
89,Website,No matching records found
90,Website,First
91,Website,Last
92,Website,: activate to sort column ascending
93,Website,: activate to sort column descending
94,App & Software Translation,poolapp_OTA_error_file_invalid
95,App & Software Translation,poolapp_OTA_error_file_open
96,App & Software Translation,poolapp_OTA_error_file_read
97,App & Software Translation,poolapp_ble_scan_error_adapter_offline
98,App & Software Translation,labcom_poollab_import_err_notcon
99,App & Software Translation,labcom_poollab_import_err_account
100,App & Software Translation,labcom_poollab_import_err_db
101,App & Software Translation,desktop_chemistry_error_get
102,App & Software Translation,desktop_chemistry_error_set
103,App & Software Translation,desktop_ui_operator_name_for_imported_measurements
104,App & Software Translation,desktop_report_measurement_journal
105,App & Software Translation,desktop_report_date_of_report
106,App & Software Translation,desktop_report_selected_timeframe
107,App & Software Translation,desktop_report_selected_account
108,App & Software Translation,desktop_report_date
109,App & Software Translation,desktop_report_time
110,App & Software Translation,desktop_report_serial
111,App & Software Translation,desktop_report_operator
