id,category_name,language_id,phrase_id,translation,
1,3,1,1,Homepage,
2,3,1,2,Register,
3,3,1,3,Login,
4,3,1,4,Remember me,
5,3,1,5,Forgot password,
6,3,1,6,E-Mail,
7,3,1,7,Password,
8,3,1,8,Confirm password,
9,3,1,9,Sign in,
10,3,1,10,Logout,
11,3,1,11,Name,
12,3,1,12,Dashboard,
13,3,1,13,Choose category,
14,3,1,14,Parse,
15,3,1,15,Import Translation,
16,3,1,16,Import Translation XML,
17,3,1,17,Import Translation JSON,
18,3,1,18,Export Translations,
19,3,1,19,Export Translations XML,
20,3,1,20,Export Translations JSON,
21,3,1,21,Missing translations,
22,3,1,22,Close,
23,3,1,23,Error,
24,3,1,24,Translation,
25,3,1,25,Sequence,
26,3,1,26,Localization overview,
27,3,1,27,Language,
28,3,1,28,Go to,
29,3,1,29,Categories,
30,3,1,30,Category,
31,3,1,31,Edit,
32,3,1,32,Delete,
33,3,1,33,Update category,
34,3,1,34,Save changes,
35,3,1,35,Are you sure you want to delete this Category ?,
36,3,1,36,Yes,
37,3,1,37,No,
38,3,1,38,Languages,
39,3,1,39,ISO-CODE,
40,3,1,40,Update Language,
41,3,1,41,Dismiss,
42,3,1,42,Users,
43,3,1,43,Role,
44,3,1,44,Update,
45,3,1,45,Translate from,
46,3,1,46,Translate to,
47,3,1,47,Category Overview,
48,3,1,48,Overview,
49,3,1,49,Sequence Import / Export,
50,3,1,50,only english files,
51,3,1,51,Translation stored,
52,3,1,52,"Something went wrong, please try again",
53,3,1,53,Successfully updated translation,
54,3,1,54,Translation cannot be empty,
55,3,1,55,Updated successfully,
56,3,1,56,Category deleted successfully,
57,3,1,57,Cannot delete non-existing category,
58,3,1,58,Successfully imported translation,
59,3,1,59,But,
60,3,1,60,Some translations are missing,
61,3,1,61,Look at the list bellow,
62,3,1,62,The given data was invalid,
63,3,1,63,Try again,
64,3,1,64,Remove user,
65,3,1,65,Are you sure you want to delete this user?,
66,3,1,66,User successfully deleted,
67,3,1,67,Update user,
68,3,1,68,Successfully added language to user,
69,3,1,69,Successfully removed Language from User,
70,3,1,70,User must have at least 1 Language,
71,3,1,71,Successfully changed user role,
72,3,1,72,User successfully added to category,
73,3,1,73,Category successfully removed from the user,
74,3,1,74,User must have at least 1 Category,
75,3,1,75,Name cannot be empty,
76,3,1,76,Username successfully updated,
77,3,1,77,"Error while updating, please try again",
78,3,1,78,Email Successfully updated,
79,3,1,79,Password Successfully updated,
80,3,1,80,Password cannot be empty,
81,3,1,81,Email cannot be empty,
82,3,1,82,Email is not valid,
83,3,1,83,Download missing translations list,
84,3,1,84,Loading...,
85,3,1,85,No data available in table,
86,3,1,86,Showing _START_ to _END_ of _TOTAL_ entries,
87,3,1,87,(filtered from _MAX_ total entries),
88,3,1,88,Processing...,
89,3,1,89,No matching records found,
90,3,1,90,First,
91,3,1,91,Last,
92,3,1,92,: activate to sort column ascending,
93,3,1,93,: activate to sort column descending,
94,1,1,94,Update File Type Invalid. Please reinstall the Application and try again.,
95,1,1,95,Update File not found. Please reinstall the Application and try again.,
96,1,1,96,Update File could not be read. Please reinstall the Application and try again.,
97,1,1,97,Please turn on your Bluetooth adapter and scan again.,
98,1,1,98,Connection lost,
99,1,1,99,Account invalid,
100,1,1,100,Database error,
101,1,1,101,get called on object with invalid key,
102,1,1,102,set called on object with invalid key,
103,1,1,103,manual,
104,1,1,104,Measurement-Journal,
105,1,1,105,Date of Report:,
106,1,1,106,Selected Timeframe:,
107,1,1,107,Account:,
108,1,1,108,Date,
109,1,1,109,Time,
110,1,1,110,S/N,
111,1,1,111,Operator,
112,1,1,112,Parameter,
113,1,1,113,Result,
114,1,1,114,Status,
115,1,1,115,Unit,
116,1,1,116,Dosage Recommendation,
117,1,1,117,Test Base:,
118,1,1,118,Chemical Name:,
119,1,1,119,Target Value:,
120,1,1,120,Amount:,
121,1,1,121,Selected Parameter:,
122,1,1,122,Legal Notice,
123,1,1,123,This dosage recommendation is based on measurements and user-defined water-treatment-...,
124,1,1,124,CALIBRATION CONFIRMATION,
125,1,1,125,"We, the manufacturer of PrimeLab 1.0 Multitest Photometer, hereby confirm the successful user initiated self-calibration of the following device:",
126,1,1,126,Serial Number:,
127,1,1,127,Firmware:,
128,1,1,128,Database:,
129,1,1,129,Result:,
130,1,1,130,Calibration was performed:,
131,1,1,131,Water-i.d. / Pool-i.d. GmbH,
132,1,1,132,PDF Writer critical error,
133,1,1,133,,
134,1,1,134,error,
135,1,1,135,Underrange,
136,1,1,136,Overrange,
137,1,1,137,-,
138,1,1,138,Too Low!,
139,1,1,139,Too High!,
140,1,1,140,OK,
141,1,1,141,Account not found,
142,1,1,142,The account you were trying to edit/delete/add measurements to was not found after re-synchronization with the cloud.,
143,1,1,143,Privilege too low,
144,1,1,144,You do not have the required permission to edit or add accounts to this cloud's database.,
145,1,1,145,No internet,
146,1,1,146,Connection to the cloud server failed. Please check your internet connection and try again.,
147,1,1,147,Proxy error,
148,1,1,148,Connection to the proxy failed. Please check your proxy and internet connection and try again.,
149,1,1,149,Cloud server offline,
150,1,1,150,Connection to the cloud server failed. The cloud server appears to be offline. Please try again in a few minutes.,
151,1,1,151,Cloud login failed,
152,1,1,152,Your current cloud password was changed and all synchronization has been disabled. Navigate to Cloud Settings and log back in to re-synchronize.,
153,1,1,153,Shared user error,
154,1,1,154,The shared database is no longer available to you. This computer's database was reset to your own cloud database.,
155,1,1,155,Shared user not found,
156,1,1,156,No user is registered with the specified email-address.,
157,1,1,157,Cannot read file,
158,1,1,158,The specified file cannot be read.,
159,1,1,159,Backup failed,
160,1,1,160,Cannot remove old database file from file system.,
161,1,1,161,Cannot copy the backup to the data location folder. Make sure you have enough disc space and the required file permissions.,
162,1,1,162,Protocol error,
163,1,1,163,The application encountered a protocol error with the cloud server. Please make sure you are using the most recent version and try again.,
164,1,1,164,µg,
165,1,1,165,mg,
166,1,1,166,g,
167,1,1,167,kg,
168,1,1,168,µl,
169,1,1,169,ml,
